

--------------------------------------------------------
Maximum iterations:		20
Starting 'C' Real:		-2.000000
Starting 'C' Imaginary:	-1.000000
Step size: 				0.004990
--------------------------------------------------------
de_data		de_addr	de_nbyte
03030303	000ce	7
03030303	000cf	e
03030303	000cf	d
03030303	000cf	b
03030303	000cf	7
03030303	000d0	e
03030303	000d0	d
03030303	000d0	b
03030303	000d0	7
03030303	000d1	e
03030303	000d1	d
03030303	000d1	b
03030303	000d1	7
03030303	000d2	e
03030303	000d2	d
03030303	000d2	b
03030303	000d2	7
03030303	000d3	e
03030303	000d3	d
03030303	000d3	b
03030303	000d3	7
03030303	000d4	e
03030303	000d4	d
03030303	000d4	b
03030303	000d4	7
03030303	000d5	e
03030303	000d5	d
03030303	000d5	b
03030303	000d5	7
03030303	000d6	e
03030303	000d6	d
03030303	000d6	b
03030303	000d6	7
03030303	000d7	e
03030303	000d7	d
03030303	000d7	b
03030303	000d7	7
03030303	000d8	e
03030303	000d8	d
03030303	000d8	b
03030303	000d8	7
03030303	000d9	e
